variety,yield_total,trial,sel.site
A00188.3C,14.4,2010_CA,Idaho
MSR127.2,21.4,2010_CA,Michigan
MSR148.4,23.8,2010_CA,Michigan
MSR169.8Y,13.4,2010_CA,Michigan
ND7799c.1,16.8,2010_CA,NorthDakota
NY148,18,2010_CA,NewYork
W8603.1,19,2010_CA,Wisconsin
MSQ089.1,19.6,2010_CA,Michigan
A01143.3C,23.9,2010_CA,Idaho
AC01151.5W,23.7,2010_CA,Colorado
AF4157.6,14.9,2010_CA,Maine
AC00206.2W,15,2010_CA,Colorado
MSK061.4,13.5,2010_CA,Michigan
MSQ035.3,10.6,2010_CA,Michigan
MSL007.B,15,2010_CA,Michigan
MSM246.B,19.5,2010_CA,Michigan
CO02033.1W,18.2,2010_CA,Colorado
CO02024.9W,13.5,2010_CA,Colorado
CO00270.7W,20.9,2010_CA,Colorado
MSS165.2Y,28.4,2010_FL,Michigan
ND7799c.1,28.7,2010_FL,NorthDakota
MSR169.8Y,22.5,2010_FL,Michigan
MSQ086.3,21.8,2010_FL,Michigan
MSQ035.3,19.4,2010_FL,Michigan
MSK061.4,28.3,2010_FL,Michigan
MSL007.B,23.6,2010_FL,Michigan
MSM246.B,10.9,2010_FL,Michigan
MSP270.1,19.4,2010_FL,Michigan
MSQ089.1,28,2010_FL,Michigan
MSR148.4,32.3,2010_FL,Michigan
MSR036.5,28.7,2010_FL,Michigan
MSR058.1,26.3,2010_FL,Michigan
MSR127.2,32,2010_FL,Michigan
MSR128.4Y,22.6,2010_FL,Michigan
W6822.3,22.8,2010_FL,Wisconsin
W8539.2Y,11.8,2010_FL,Wisconsin
W8587.4,16.8,2010_FL,Wisconsin
W8603.1,20.8,2010_FL,Wisconsin
W8615.5,32,2010_FL,Wisconsin
NY148,16.8,2010_FL,NewYork
MSH228.6,25.2,2010_FL,Michigan
A01143.3C,28.5,2010_FL,Idaho
AC00206.2W,23.9,2010_FL,Colorado
AC01151.5W,24.1,2010_FL,Colorado
AC03452.2W,16.5,2010_FL,Colorado
AF4157.6,22.1,2010_FL,Maine
A00188.3C,29.4,2010_FL,Idaho
CO00270.7W,24.6,2010_FL,Colorado
CO02024.9W,26.8,2010_FL,Colorado
CO02033.1W,30.5,2010_FL,Colorado
CO03243.3W,21.7,2010_FL,Colorado
ND7799c.1,16.7,2010_MI,NorthDakota
MSR058.1,20.2,2010_MI,Michigan
MSQ035.3,22.4,2010_MI,Michigan
MSQ089.1,22.4,2010_MI,Michigan
MSR036.5,15.8,2010_MI,Michigan
MSS165.2Y,17.3,2010_MI,Michigan
MSR127.2,22.9,2010_MI,Michigan
MSR128.4Y,13.8,2010_MI,Michigan
MSR148.4,23.7,2010_MI,Michigan
MSR169.8Y,17.1,2010_MI,Michigan
W6609.3,12.9,2010_MI,Wisconsin
W6822.3,23.2,2010_MI,Wisconsin
W8539.2Y,20.3,2010_MI,Wisconsin
W8587.4,10.2,2010_MI,Wisconsin
W8603.1,7.2,2010_MI,Wisconsin
W8615.5,12.4,2010_MI,Wisconsin
NY148,29.5,2010_MI,NewYork
MSP270.1,10.8,2010_MI,Michigan
A00188.3C,14,2010_MI,Idaho
A01143.3C,21.2,2010_MI,Idaho
AC00206.2W,11.5,2010_MI,Colorado
AC01151.5W,21.4,2010_MI,Colorado
AC03452.2W,18.3,2010_MI,Colorado
AF4157.6,12,2010_MI,Maine
MSM246.B,22.9,2010_MI,Michigan
CO00270.7W,16.5,2010_MI,Colorado
CO02024.9W,20.7,2010_MI,Colorado
CO02033.1W,22.8,2010_MI,Colorado
CO03243.3W,20.4,2010_MI,Colorado
MSH228.6,14.5,2010_MI,Michigan
MSK061.4,16.5,2010_MI,Michigan
MSL007.B,17.8,2010_MI,Michigan
ND7799c.1,12.2,2010_NC,NorthDakota
MSP270.1,1.3,2010_NC,Michigan
MSM246.B,5.3,2010_NC,Michigan
MSQ035.3,8.1,2010_NC,Michigan
MSQ086.3,17.5,2010_NC,Michigan
MSQ089.1,3.7,2010_NC,Michigan
MSR036.5,7.6,2010_NC,Michigan
MSR058.1,14.2,2010_NC,Michigan
MSR127.2,9.8,2010_NC,Michigan
MSR128.4Y,15.6,2010_NC,Michigan
MSR148.4,14.1,2010_NC,Michigan
MSR169.8Y,11,2010_NC,Michigan
MSS165.2Y,10.6,2010_NC,Michigan
W6822.3,15.6,2010_NC,Wisconsin
W8539.2Y,10.5,2010_NC,Wisconsin
W8587.4,9.3,2010_NC,Wisconsin
W8615.5,5.3,2010_NC,Wisconsin
NY148,18.1,2010_NC,NewYork
W8603.1,16.7,2010_NC,Wisconsin
MSL007.B,12.3,2010_NC,Michigan
AC00206.2W,14.7,2010_NC,Colorado
A00188.3C,4.2,2010_NC,Idaho
MSK061.4,9.3,2010_NC,Michigan
AC01151.5W,8.6,2010_NC,Colorado
AC03452.2W,8.3,2010_NC,Colorado
AF4157.6,16.3,2010_NC,Maine
A01143.3C,14.9,2010_NC,Idaho
CO03243.3W,9.3,2010_NC,Colorado
CO00270.7W,12.1,2010_NC,Colorado
CO02024.9W,12.1,2010_NC,Colorado
CO02033.1W,10.9,2010_NC,Colorado
MSH228.6,13.3,2010_NC,Michigan
ND7799c.1,27.9,2010_ND,NorthDakota
MSP270.1,10.7,2010_ND,Michigan
MSQ035.3,21,2010_ND,Michigan
MSQ089.1,17.7,2010_ND,Michigan
MSR036.5,12,2010_ND,Michigan
MSS165.2Y,22.6,2010_ND,Michigan
MSR058.1,17,2010_ND,Michigan
MSR127.2,16.7,2010_ND,Michigan
MSR128.4Y,12.5,2010_ND,Michigan
MSR148.4,20.2,2010_ND,Michigan
MSR169.8Y,19,2010_ND,Michigan
W6609.3,10.7,2010_ND,Wisconsin
W6822.3,31.8,2010_ND,Wisconsin
W8539.2Y,18.9,2010_ND,Wisconsin
W8587.4,8.4,2010_ND,Wisconsin
W8603.1,14.6,2010_ND,Wisconsin
W8615.5,23.5,2010_ND,Wisconsin
NY148,26.1,2010_ND,NewYork
AC01151.5W,26.2,2010_ND,Colorado
A01143.3C,25.2,2010_ND,Idaho
AC00206.2W,28.3,2010_ND,Colorado
AC03452.2W,30.3,2010_ND,Colorado
AF4157.6,36.4,2010_ND,Maine
A00188.3C,24.2,2010_ND,Idaho
CO02033.1W,31.2,2010_ND,Colorado
CO03243.3W,26.3,2010_ND,Colorado
CO00270.7W,27.4,2010_ND,Colorado
MSH228.6,13.7,2010_ND,Michigan
MSK061.4,10.8,2010_ND,Michigan
MSL007.B,18.4,2010_ND,Michigan
MSM246.B,14.8,2010_ND,Michigan
CO02024.9W,33.8,2010_ND,Colorado
MSS165.2Y,11.6,2010_NY,Michigan
MSR169.8Y,9.6,2010_NY,Michigan
NY148,17.6,2010_NY,NewYork
MSP270.1,7.9,2010_NY,Michigan
MSQ035.3,10.3,2010_NY,Michigan
MSQ089.1,9.2,2010_NY,Michigan
MSR036.5,10.1,2010_NY,Michigan
MSR058.1,17.1,2010_NY,Michigan
MSR127.2,15.1,2010_NY,Michigan
MSR128.4Y,13.1,2010_NY,Michigan
MSR148.4,10,2010_NY,Michigan
W6609.3,9.5,2010_NY,Wisconsin
W6822.3,11.1,2010_NY,Wisconsin
W8539.2Y,13.1,2010_NY,Wisconsin
W8587.4,10.3,2010_NY,Wisconsin
W8603.1,12.4,2010_NY,Wisconsin
W8615.5,13.5,2010_NY,Wisconsin
MSM246.B,10.7,2010_NY,Michigan
MSL007.B,14.1,2010_NY,Michigan
A00188.3C,11.3,2010_NY,Idaho
A01143.3C,13.1,2010_NY,Idaho
AC00206.2W,11.9,2010_NY,Colorado
AC01151.5W,12.2,2010_NY,Colorado
AC03452.2W,18.1,2010_NY,Colorado
AF4157.6,13.2,2010_NY,Maine
CO00270.7W,14.4,2010_NY,Colorado
CO02024.9W,15.1,2010_NY,Colorado
CO02033.1W,11.5,2010_NY,Colorado
CO03243.3W,19.5,2010_NY,Colorado
MSH228.6,13.9,2010_NY,Michigan
MSK061.4,15.7,2010_NY,Michigan
ND7799c.1,18,2010_TX,NorthDakota
MSR036.5,21.9,2010_TX,Michigan
MSR058.1,19.4,2010_TX,Michigan
MSR127.2,14.2,2010_TX,Michigan
MSR128.4Y,23,2010_TX,Michigan
MSR148.4,26.7,2010_TX,Michigan
MSR169.8Y,18.1,2010_TX,Michigan
MSS165.2Y,17.7,2010_TX,Michigan
W8615.5,8.4,2010_TX,Wisconsin
W6822.3,11.1,2010_TX,Wisconsin
W8539.2Y,18.9,2010_TX,Wisconsin
W8587.4,11.9,2010_TX,Wisconsin
W8603.1,15.1,2010_TX,Wisconsin
MSQ089.1,28.2,2010_TX,Michigan
NY148,19.8,2010_TX,NewYork
MSQ086.3,20.1,2010_TX,Michigan
MSQ035.3,21.9,2010_TX,Michigan
A00188.3C,7.8,2010_TX,Idaho
A01143.3C,10.5,2010_TX,Idaho
AC00206.2W,24.5,2010_TX,Colorado
AC01151.5W,17.9,2010_TX,Colorado
AC03452.2W,25,2010_TX,Colorado
AF4157.6,27.2,2010_TX,Maine
CO02033.1W,25.2,2010_TX,Colorado
CO03243.3W,30.3,2010_TX,Colorado
CO00270.7W,23.9,2010_TX,Colorado
MSH228.6,17.3,2010_TX,Michigan
MSK061.4,4.5,2010_TX,Michigan
MSL007.B,14.6,2010_TX,Michigan
MSM246.B,19.4,2010_TX,Michigan
MSP270.1,9.9,2010_TX,Michigan
CO02024.9W,26.3,2010_TX,Colorado
ND7799c.1,29.7,2010_WI,NorthDakota
MSS165.2Y,27.2,2010_WI,Michigan
MSP270.1,20.1,2010_WI,Michigan
MSQ035.3,29.7,2010_WI,Michigan
MSQ089.1,27.7,2010_WI,Michigan
MSR036.5,27.8,2010_WI,Michigan
MSR058.1,31.2,2010_WI,Michigan
MSR127.2,34.1,2010_WI,Michigan
MSR128.4Y,29.5,2010_WI,Michigan
MSR148.4,36.4,2010_WI,Michigan
MSR169.8Y,25.1,2010_WI,Michigan
W6822.3,27.8,2010_WI,Wisconsin
W8539.2Y,34.9,2010_WI,Wisconsin
W8587.4,25.7,2010_WI,Wisconsin
W8603.1,25.4,2010_WI,Wisconsin
W8615.5,29.5,2010_WI,Wisconsin
NY148,33.4,2010_WI,NewYork
MSM246.B,17.9,2010_WI,Michigan
MSL007.B,27.1,2010_WI,Michigan
A00188.3C,25.2,2010_WI,Idaho
A01143.3C,8,2010_WI,Idaho
AC00206.2W,21.1,2010_WI,Colorado
AC01151.5W,27.2,2010_WI,Colorado
AC03452.2W,35.8,2010_WI,Colorado
AF4157.6,26.2,2010_WI,Maine
CO00270.7W,15.3,2010_WI,Colorado
CO02024.9W,30.3,2010_WI,Colorado
CO02033.1W,21.7,2010_WI,Colorado
CO03243.3W,30.6,2010_WI,Colorado
MSH228.6,31.3,2010_WI,Michigan
MSK061.4,20.4,2010_WI,Michigan
MSR169.8Y,11.7,2011_CA,Michigan
MSR058.1,15.7,2011_CA,Michigan
MSR127.2,20.9,2011_CA,Michigan
MSR127.2,20.1,2011_CA,Michigan
MSR128.4Y,14.7,2011_CA,Michigan
MSR148.4,23,2011_CA,Michigan
MSR148.4,17.1,2011_CA,Michigan
MSR157.1Y,16.5,2011_CA,Michigan
MSR169.8Y,11.3,2011_CA,Michigan
MSS165.2Y,19.7,2011_CA,Michigan
MSS165.2Y,19.3,2011_CA,Michigan
MSS297.3,13.8,2011_CA,Michigan
MSR058.1,14.8,2011_CA,Michigan
MSR036.5,12.3,2011_CA,Michigan
MSL007.B,5.3,2011_CA,Michigan
CO05061.6W,18.5,2011_CA,Colorado
MSH228.6,18.8,2011_CA,Michigan
MSK061.4,9.8,2011_CA,Michigan
MSK061.4,9.4,2011_CA,Michigan
MSL007.B,6.4,2011_CA,Michigan
MSM246.B,12.8,2011_CA,Michigan
MSM246.B,17.8,2011_CA,Michigan
MSQ035.3,15.6,2011_CA,Michigan
MSQ086.3,12.1,2011_CA,Michigan
MSQ089.1,16.4,2011_CA,Michigan
MSQ089.1,18.5,2011_CA,Michigan
ND7799c.1,11.3,2011_CA,NorthDakota
CO03243.3W,18.7,2011_CA,Colorado
W8867.5,18.1,2011_CA,Wisconsin
W8603.1,17.8,2011_CA,Wisconsin
W8603.1,15.9,2011_CA,Wisconsin
W8615.5,21.4,2011_CA,Wisconsin
W8615.5,17.3,2011_CA,Wisconsin
W8822.1,17,2011_CA,Wisconsin
W8832.1Y,17.8,2011_CA,Wisconsin
W8848.3,14.5,2011_CA,Wisconsin
W8867.7,8.4,2011_CA,Wisconsin
W8539.2Y,19.4,2011_CA,Wisconsin
W9632.1,9.2,2011_CA,Wisconsin
W9652.1,15.8,2011_CA,Wisconsin
W8539.2Y,16.7,2011_CA,Wisconsin
ND7799c.1,12.7,2011_CA,NorthDakota
NY148,10.8,2011_CA,NewYork
NY148,14.6,2011_CA,NewYork
NY153,16.3,2011_CA,NewYork
W6609.3,14,2011_CA,Wisconsin
CO05061.2P,12.4,2011_CA,Colorado
AF4442.4,15,2011_CA,Maine
AF4552.5,21,2011_CA,Maine
AF4573.2,15.5,2011_CA,Maine
AF4640.1,19.3,2011_CA,Maine
AF4648.2,16.2,2011_CA,Maine
A01143.3C,22.5,2011_CA,Idaho
AC00206.2W,17.7,2011_CA,Colorado
AC01151.5W,23.3,2011_CA,Colorado
AC01151.5W,18.3,2011_CA,Colorado
AC03452.2W,21.2,2011_CA,Colorado
AC05153.1W,12.3,2011_CA,Colorado
AF4157.6,12.9,2011_CA,Maine
AF4157.6,17.3,2011_CA,Maine
A01143.3C,21.9,2011_CA,Idaho
CO00270.7W,19.1,2011_CA,Colorado
CO00270.7W,18.7,2011_CA,Colorado
CO02024.9W,17.7,2011_CA,Colorado
CO02033.1W,16.8,2011_CA,Colorado
CO02024.9W,17.3,2011_CA,Colorado
MSR128.4Y,8.6,2011_FL,Michigan
MSR128.4Y,6.3,2011_FL,Michigan
MSR127.2,9,2011_FL,Michigan
MSR148.4,11.9,2011_FL,Michigan
MSR148.4,7.6,2011_FL,Michigan
MSR157.1Y,14.6,2011_FL,Michigan
MSR169.8Y,8.9,2011_FL,Michigan
MSS165.2Y,11.7,2011_FL,Michigan
MSS297.3,14.8,2011_FL,Michigan
MSR127.2,11.4,2011_FL,Michigan
MSM246.B,10,2011_FL,Michigan
ND7799c.1,10.4,2011_FL,NorthDakota
MSH228.6,14.6,2011_FL,Michigan
MSK061.4,10.6,2011_FL,Michigan
MSK061.4,6.1,2011_FL,Michigan
MSL007.B,4.1,2011_FL,Michigan
MSL007.B,4.1,2011_FL,Michigan
MSM246.B,8.1,2011_FL,Michigan
MSR058.1,12.6,2011_FL,Michigan
MSQ035.3,12.3,2011_FL,Michigan
MSQ086.3,12.8,2011_FL,Michigan
MSQ089.1,8.6,2011_FL,Michigan
MSQ089.1,6.7,2011_FL,Michigan
MSR036.5,13.4,2011_FL,Michigan
W8539.2Y,6.5,2011_FL,Wisconsin
ND7799c.1,8.2,2011_FL,NorthDakota
W8867.7,11.2,2011_FL,Wisconsin
W8603.1,7.3,2011_FL,Wisconsin
W8615.5,9.2,2011_FL,Wisconsin
W8615.5,8.4,2011_FL,Wisconsin
W8822.1,7.8,2011_FL,Wisconsin
W8832.1Y,7.9,2011_FL,Wisconsin
W8848.3,7.8,2011_FL,Wisconsin
W8867.5,9.9,2011_FL,Wisconsin
W8539.2Y,6,2011_FL,Wisconsin
W9632.1,10.4,2011_FL,Wisconsin
W9652.1,7.8,2011_FL,Wisconsin
W8603.1,7.9,2011_FL,Wisconsin
NY148,14.6,2011_FL,NewYork
NY148,9.5,2011_FL,NewYork
NY153,12.9,2011_FL,NewYork
W6609.3,7.9,2011_FL,Wisconsin
MSR058.1,9.3,2011_FL,Michigan
AF4442.4,10.7,2011_FL,Maine
AF4552.5,9.1,2011_FL,Maine
AF4573.2,12.3,2011_FL,Maine
AF4640.1,9.6,2011_FL,Maine
AF4648.2,9.3,2011_FL,Maine
A01143.3C,8,2011_FL,Idaho
A01143.3C,8.7,2011_FL,Idaho
AC00206.2W,11.9,2011_FL,Colorado
AC01151.5W,10.4,2011_FL,Colorado
AC03452.2W,16.4,2011_FL,Colorado
AC05153.1W,12.3,2011_FL,Colorado
AF4157.6,8.5,2011_FL,Maine
AF4157.6,8.2,2011_FL,Maine
AC01151.5W,11.9,2011_FL,Colorado
CO00270.7W,10.5,2011_FL,Colorado
CO00270.7W,9,2011_FL,Colorado
CO02024.9W,12.3,2011_FL,Colorado
CO02024.9W,10.2,2011_FL,Colorado
CO02033.1W,13.5,2011_FL,Colorado
CO03243.3W,13.9,2011_FL,Colorado
CO05061.2P,11,2011_FL,Colorado
CO05061.6W,6.9,2011_FL,Colorado
ND7799c.1,11.1,2011_MI,NorthDakota
ND7799c.1,10,2011_MI,NorthDakota
NY148,21.5,2011_MI,NewYork
NY148,16.3,2011_MI,NewYork
MSR127.2,12.5,2011_MI,Michigan
MSR127.2,8.7,2011_MI,Michigan
MSR036.5,13.1,2011_MI,Michigan
MSR058.1,9.3,2011_MI,Michigan
MSR058.1,14.1,2011_MI,Michigan
MSS297.3,7.5,2011_MI,Michigan
MSR128.4Y,6.2,2011_MI,Michigan
MSR148.4,13.1,2011_MI,Michigan
MSR148.4,12.8,2011_MI,Michigan
MSR169.8Y,7.2,2011_MI,Michigan
MSS165.2Y,11.2,2011_MI,Michigan
MSS165.2Y,12.7,2011_MI,Michigan
W8822.1,20.3,2011_MI,Wisconsin
W8832.1Y,7.4,2011_MI,Wisconsin
W8832.1Y,10.1,2011_MI,Wisconsin
W8848.3,14,2011_MI,Wisconsin
W8867.5,14.6,2011_MI,Wisconsin
W8867.7,14.4,2011_MI,Wisconsin
W8615.5,15.5,2011_MI,Wisconsin
W9632.1,6.8,2011_MI,Wisconsin
W9652.1,11.1,2011_MI,Wisconsin
MSQ089.1,11.8,2011_MI,Michigan
W8615.5,14.8,2011_MI,Wisconsin
W8587.4,10.5,2011_MI,Wisconsin
W6609.3,17,2011_MI,Wisconsin
W6822.3,16.4,2011_MI,Wisconsin
W8539.2Y,17.1,2011_MI,Wisconsin
MSQ035.3,13.5,2011_MI,Michigan
MSQ089.1,15.1,2011_MI,Michigan
AF4442.4,12.9,2011_MI,Maine
AF4552.5,12.5,2011_MI,Maine
AF4157.6,13.1,2011_MI,Maine
AF4573.2,13.4,2011_MI,Maine
AC00206.2W,11.3,2011_MI,Colorado
MSQ086.3,16.6,2011_MI,Michigan
A00188.3C,11.4,2011_MI,Idaho
A00188.3C,11.3,2011_MI,Idaho
A01143.3C,13.4,2011_MI,Idaho
A01143.3C,18.4,2011_MI,Idaho
AC01151.5W,18.7,2011_MI,Colorado
AC01151.5W,14.1,2011_MI,Colorado
AC03452.2W,15.5,2011_MI,Colorado
AC05153.1W,11.2,2011_MI,Colorado
AF4157.6,13,2011_MI,Maine
CO03243.3W,15.2,2011_MI,Colorado
CO05061.2P,9.3,2011_MI,Colorado
CO05061.6W,12.3,2011_MI,Colorado
MSH228.6,9.7,2011_MI,Michigan
CO02024.9W,9.5,2011_MI,Colorado
MSL007.B,10.1,2011_MI,Michigan
MSL007.B,11.5,2011_MI,Michigan
MSM246.B,9.9,2011_MI,Michigan
MSM246.B,8.3,2011_MI,Michigan
AF4640.1,12.5,2011_MI,Maine
CO02033.1W,14.2,2011_MI,Colorado
CO02024.9W,15.1,2011_MI,Colorado
AF4648.2,10.5,2011_MI,Maine
CO00270.7W,10.4,2011_MI,Colorado
CO00270.7W,11.4,2011_MI,Colorado
MSR128.4Y,8.4,2011_MO,Michigan
MSS165.2Y,9,2011_MO,Michigan
MSR169.8Y,4.4,2011_MO,Michigan
MSR169.8Y,6.4,2011_MO,Michigan
MSR148.4,7.2,2011_MO,Michigan
MSR148.4,9.8,2011_MO,Michigan
MSS165.2Y,8.8,2011_MO,Michigan
MSR128.4Y,5.2,2011_MO,Michigan
ND7799c.1,9.2,2011_MO,NorthDakota
MSK061.4,4.2,2011_MO,Michigan
MSK061.4,6.6,2011_MO,Michigan
MSL007.B,3.2,2011_MO,Michigan
MSL007.B,11.8,2011_MO,Michigan
MSM246.B,7.8,2011_MO,Michigan
MSM246.B,7.8,2011_MO,Michigan
MSQ089.1,8.2,2011_MO,Michigan
MSQ089.1,9.8,2011_MO,Michigan
MSR058.1,6.6,2011_MO,Michigan
MSR058.1,6.6,2011_MO,Michigan
ND7799c.1,8,2011_MO,NorthDakota
W8539.2Y,8,2011_MO,Wisconsin
W8539.2Y,9,2011_MO,Wisconsin
W8603.1,9.4,2011_MO,Wisconsin
W8603.1,7.6,2011_MO,Wisconsin
W8615.5,8.8,2011_MO,Wisconsin
W8615.5,9.2,2011_MO,Wisconsin
NY148,7.2,2011_MO,NewYork
NY148,7.6,2011_MO,NewYork
AF4157.6,10.4,2011_MO,Maine
AC01151.5W,8.8,2011_MO,Colorado
A01143.3C,8.8,2011_MO,Idaho
A01143.3C,8.2,2011_MO,Idaho
AC01151.5W,10.4,2011_MO,Colorado
CO00270.7W,10.8,2011_MO,Colorado
CO00270.7W,12.8,2011_MO,Colorado
CO02024.9W,10.6,2011_MO,Colorado
CO02024.9W,6.2,2011_MO,Colorado
MSS165.2Y,8.8,2011_NC,Michigan
MSS297.3,8.6,2011_NC,Michigan
MSR169.8Y,7.5,2011_NC,Michigan
MSS165.2Y,8.2,2011_NC,Michigan
MSR169.8Y,7.8,2011_NC,Michigan
MSR157.1Y,8.2,2011_NC,Michigan
ND7799c.1,10.1,2011_NC,NorthDakota
ND7799c.1,10.4,2011_NC,NorthDakota
MSR148.4,10.3,2011_NC,Michigan
MSR148.4,9.8,2011_NC,Michigan
MSQ089.1,9.3,2011_NC,Michigan
MSL007.B,6.3,2011_NC,Michigan
MSL007.B,6.1,2011_NC,Michigan
MSM246.B,7.6,2011_NC,Michigan
MSM246.B,9,2011_NC,Michigan
MSQ035.3,8.9,2011_NC,Michigan
MSQ086.3,8.6,2011_NC,Michigan
MSQ089.1,8.4,2011_NC,Michigan
MSR128.4Y,8.4,2011_NC,Michigan
MSR036.5,6.6,2011_NC,Michigan
MSR058.1,9.5,2011_NC,Michigan
MSR058.1,8.2,2011_NC,Michigan
MSR127.2,7.9,2011_NC,Michigan
MSR127.2,7.4,2011_NC,Michigan
MSR128.4Y,10,2011_NC,Michigan
W8867.5,9.7,2011_NC,Wisconsin
W8603.1,10.6,2011_NC,Wisconsin
W8603.1,8.1,2011_NC,Wisconsin
W8615.5,9.4,2011_NC,Wisconsin
W8615.5,8.9,2011_NC,Wisconsin
W8822.1,9.1,2011_NC,Wisconsin
W8832.1Y,9.2,2011_NC,Wisconsin
W8848.3,10.8,2011_NC,Wisconsin
W8867.7,11,2011_NC,Wisconsin
W8539.2Y,7.7,2011_NC,Wisconsin
W9632.1,11.5,2011_NC,Wisconsin
W9652.1,7.4,2011_NC,Wisconsin
MSK061.4,8.4,2011_NC,Michigan
W8539.2Y,9,2011_NC,Wisconsin
NY148,11,2011_NC,NewYork
NY148,9.1,2011_NC,NewYork
NY153,10.1,2011_NC,NewYork
W6609.3,8.9,2011_NC,Wisconsin
MSK061.4,9.4,2011_NC,Michigan
AF4442.4,9.3,2011_NC,Maine
AF4552.5,9,2011_NC,Maine
AF4573.2,7.4,2011_NC,Maine
AF4640.1,11.6,2011_NC,Maine
AF4648.2,7,2011_NC,Maine
A01143.3C,7.8,2011_NC,Idaho
A01143.3C,8.6,2011_NC,Idaho
MSH228.6,8.5,2011_NC,Michigan
AC01151.5W,12.8,2011_NC,Colorado
AC01151.5W,11.2,2011_NC,Colorado
AC03452.2W,11.4,2011_NC,Colorado
AC05153.1W,10.6,2011_NC,Colorado
AF4157.6,8.9,2011_NC,Maine
AF4157.6,9,2011_NC,Maine
AC00206.2W,13.8,2011_NC,Colorado
CO00270.7W,7.8,2011_NC,Colorado
CO00270.7W,9.2,2011_NC,Colorado
CO02024.9W,11.3,2011_NC,Colorado
CO02024.9W,9.3,2011_NC,Colorado
CO02033.1W,10.2,2011_NC,Colorado
CO03243.3W,12.7,2011_NC,Colorado
CO05061.2P,10,2011_NC,Colorado
CO05061.6W,12.3,2011_NC,Colorado
ND7799c.1,10.8,2011_NY,NorthDakota
ND7799c.1,11.1,2011_NY,NorthDakota
NY148,17.6,2011_NY,NewYork
NY148,16.1,2011_NY,NewYork
NY153,17.6,2011_NY,NewYork
MSR148.4,8.4,2011_NY,Michigan
MSR128.4Y,11.6,2011_NY,Michigan
MSR036.5,10.7,2011_NY,Michigan
MSR058.1,11.1,2011_NY,Michigan
MSR058.1,9.9,2011_NY,Michigan
MSR127.2,13.5,2011_NY,Michigan
MSR127.2,11.1,2011_NY,Michigan
MSR148.4,9.7,2011_NY,Michigan
MSR157.1Y,8.6,2011_NY,Michigan
MSR169.8Y,13.4,2011_NY,Michigan
MSR169.8Y,13.1,2011_NY,Michigan
MSS165.2Y,10.4,2011_NY,Michigan
MSS165.2Y,12.3,2011_NY,Michigan
MSS297.3,7.4,2011_NY,Michigan
W8867.7,12.3,2011_NY,Wisconsin
W8615.5,12.8,2011_NY,Wisconsin
W8822.1,15.4,2011_NY,Wisconsin
W8832.1Y,8.3,2011_NY,Wisconsin
W8848.3,9,2011_NY,Wisconsin
W8867.5,14.6,2011_NY,Wisconsin
W8587.4,8.4,2011_NY,Wisconsin
W9632.1,12.1,2011_NY,Wisconsin
W9652.1,13.7,2011_NY,Wisconsin
W8615.5,10.8,2011_NY,Wisconsin
W8587.4,9.6,2011_NY,Wisconsin
W8539.2Y,10.5,2011_NY,Wisconsin
W6609.3,7.3,2011_NY,Wisconsin
W6609.3,7,2011_NY,Wisconsin
W6822.3,11.4,2011_NY,Wisconsin
W8539.2Y,11.1,2011_NY,Wisconsin
MSQ089.1,11.1,2011_NY,Michigan
AF4442.4,7.6,2011_NY,Maine
AF4552.5,11.6,2011_NY,Maine
AF4573.2,12.6,2011_NY,Maine
AF4640.1,14.1,2011_NY,Maine
AC01151.5W,11.7,2011_NY,Colorado
MSQ089.1,10.7,2011_NY,Michigan
A00188.3C,9.8,2011_NY,Idaho
A00188.3C,11.1,2011_NY,Idaho
A01143.3C,12.8,2011_NY,Idaho
A01143.3C,12,2011_NY,Idaho
AC00206.2W,8.7,2011_NY,Colorado
AC01151.5W,12.3,2011_NY,Colorado
AC03452.2W,11.6,2011_NY,Colorado
AC05153.1W,6.8,2011_NY,Colorado
AF4157.6,10.5,2011_NY,Maine
AF4157.6,8.3,2011_NY,Maine
AF4648.2,11.6,2011_NY,Maine
MSH228.6,13,2011_NY,Michigan
CO03243.3W,15.2,2011_NY,Colorado
CO05061.2P,8.8,2011_NY,Colorado
CO05061.6W,8.7,2011_NY,Colorado
MSL007.B,7.1,2011_NY,Michigan
CO02033.1W,13.1,2011_NY,Colorado
MSL007.B,7.8,2011_NY,Michigan
MSM246.B,9.7,2011_NY,Michigan
MSM246.B,10.3,2011_NY,Michigan
MSQ035.3,7.6,2011_NY,Michigan
MSQ086.3,9,2011_NY,Michigan
CO02024.9W,17.5,2011_NY,Colorado
CO02024.9W,16,2011_NY,Colorado
CO00270.7W,11.1,2011_NY,Colorado
CO00270.7W,9.9,2011_NY,Colorado
ND7799c.1,20.4,2011_WI,NorthDakota
NY148,28.8,2011_WI,NewYork
NY153,19.6,2011_WI,NewYork
MSR036.5,10.3,2011_WI,Michigan
MSQ035.3,23,2011_WI,Michigan
MSQ086.3,23.9,2011_WI,Michigan
MSS297.3,19.2,2011_WI,Michigan
MSR157.1Y,17.8,2011_WI,Michigan
MSR169.8Y,19.3,2011_WI,Michigan
MSS165.2Y,24.1,2011_WI,Michigan
W8832.1Y,12.8,2011_WI,Wisconsin
W8848.3,20.6,2011_WI,Wisconsin
W8867.5,24.4,2011_WI,Wisconsin
W8867.7,18.6,2011_WI,Wisconsin
W9632.1,21,2011_WI,Wisconsin
